Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) ,COU,Life Expectancy at Birth,Population
Germany,DEU,17,19,23,59,1984,Los Angeles,USA,7.25111E+11,DEU,74.3,77858682.0
Ireland,IRL,0,1,0,1,1984,Los Angeles,USA,20109800239,,,3529000.0
Cameroon,CMR,0,0,1,1,1984,Los Angeles,USA,7311937457,,,
Norway,NOR,0,1,2,3,1984,Los Angeles,USA,62057955033,NOR,76.4,4140098.0
Belgium,BEL,1,1,2,4,1984,Los Angeles,USA,83349530159,BEL,74.5,9855372.0
Pakistan,PAK,1,0,0,1,1984,Los Angeles,USA,31151825467,,,
Ivory Coast,CIV,0,1,0,1,1984,Los Angeles,USA,6841638715,,,
France,FRA,5,7,16,28,1984,Los Angeles,USA,5.30684E+11,FRA,75.3,55026074.0
Peru,PER,0,1,0,1,1984,Los Angeles,USA,17599660054,,,
Algeria,DZA,0,0,2,2,1984,Los Angeles,USA,53698278906,,,
Italy,ITA,14,6,12,32,1984,Los Angeles,USA,4.37888E+11,ITA,75.0,56576719.0
Australia,AUS,4,8,12,24,1984,Los Angeles,USA,1.93242E+11,AUS,75.8,15579391.0
Mexico,MEX,2,3,1,6,1984,Los Angeles,USA,1.84261E+11,MEX,69.1,74359027.0
Jamaica,JAM,0,1,2,3,1984,Los Angeles,USA,2373566957,,,
England,GBR,5,11,21,37,1984,Los Angeles,USA,4.61487E+11,,,
Finland,FIN,4,2,6,12,1984,Los Angeles,USA,52888800950,FIN,74.8,4881806.0
United States,USA,83,61,30,174,1984,Los Angeles,USA,4.03761E+12,USA,74.7,235824902.0
Thailand,THA,0,1,0,1,1984,Los Angeles,USA,41797592963,,,
Mongolia,MNG,0,0,1,1,1988,Seoul,KOR,3204461567,,,
Senegal,SEN,0,1,0,1,1988,Seoul,KOR,6418419798,,,
Czech Republic,CZE,3,3,2,8,1988,Seoul,KOR, $-   ,CZE,71.8,10356359.0
U.S. Virgin Islands,VIR,0,1,0,1,1988,Seoul,KOR, $-   ,,,
Colombia,COL,0,0,1,1,1988,Seoul,KOR,39212550050,COL,67.0,32767110.0
New Zealand,NZL,3,2,8,13,1988,Seoul,KOR,45176811594,NZL,74.8,3343680.0
Poland,POL,2,5,9,16,1988,Seoul,KOR, $-   ,POL,71.5,37862063.0
Netherlands,NLD,2,2,5,9,1988,Seoul,KOR,2.61911E+11,NLD,77.1,14760092.0
Costa Rica,CRI,0,1,0,1,1988,Seoul,KOR,4614629898,CRI,75.3,2878888.0
Philippines,PHL,0,0,1,1,1988,Seoul,KOR,37885440419,,,
Turkey,TUR,1,1,0,2,1988,Seoul,KOR,90852814005,TUR,65.2,53268000.0
France,FRA,6,4,6,16,1988,Seoul,KOR,1.01885E+12,FRA,76.6,56117974.0
Norway,NOR,2,3,0,5,1988,Seoul,KOR,1.019E+11,NOR,76.4,4209489.0
Finland,FIN,1,1,2,4,1988,Seoul,KOR,1.09059E+11,FIN,74.8,4946487.0
Romania,ROU,7,11,6,24,1988,Seoul,KOR,40809523810,,,23057660.0
Brazil,BRA,1,2,3,6,1988,Seoul,KOR,3.30397E+11,BRA,65.7,143851505.0
Belgium,BEL,0,0,2,2,1988,Seoul,KOR,1.62299E+11,BEL,75.7,9901665.0
Mexico,MEX,0,0,2,2,1988,Seoul,KOR,1.81612E+11,MEX,70.6,80970606.0
Peru,PER,0,1,0,1,1988,Seoul,KOR,15439408447,,,
Australia,AUS,3,6,5,14,1988,Seoul,KOR,2.35658E+11,AUS,76.3,16532164.0
Bulgaria,BGR,10,12,13,35,1988,Seoul,KOR,22555941176,,,8981446.0
Pakistan,PAK,0,0,1,1,1988,Seoul,KOR,38472742808,,,
Austria,AUT,1,0,0,1,1988,Seoul,KOR,1.33339E+11,AUT,75.3,7585317.0
Netherlands Antilles,ANT,0,1,0,1,1988,Seoul,KOR,,,,
Denmark,DNK,2,1,1,4,1988,Seoul,KOR,1.15553E+11,DNK,75.0,5129517.0
United States,USA,36,31,27,94,1988,Seoul,KOR,5.23644E+12,USA,74.9,244498982.0
Chile,CHL,0,1,0,1,1988,Seoul,KOR,26040229793,CHL,72.5,12748135.0
China,CHN,5,11,12,28,1988,Seoul,KOR,3.12354E+11,,,
Thailand,THA,0,0,1,1,1988,Seoul,KOR,61667199835,,,
Switzerland,CHE,0,2,2,4,1988,Seoul,KOR,2.15722E+11,CHE,77.5,6593387.0
Italy,ITA,6,4,4,14,1988,Seoul,KOR,8.91609E+11,ITA,76.5,56629290.0
Germany,DEU,11,14,15,40,1988,Seoul,KOR,1.40123E+12,DEU,75.8,78144617.0
Spain,ESP,1,1,2,4,1988,Seoul,KOR,3.7616E+11,ESP,76.9,38764307.0
Greece,GRC,0,0,1,1,1988,Seoul,KOR,76261277925,GRC,76.8,10037037.0
Argentina,ARG,0,1,1,2,1988,Seoul,KOR,1.26207E+11,,,31673154.0
Indonesia,IDN,0,1,0,1,1988,Seoul,KOR,84300174477,IDN,61.5,175000916.0
Jamaica,JAM,0,2,0,2,1988,Seoul,KOR,3828310735,,,
