Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Sprint, Men",ITA,1,1964,Cycling Track,Men,Sprint
"Sprint, Men",ITA,2,1964,Cycling Track,Men,Sprint
"Sprint, Men",FRA,3,1964,Cycling Track,Men,Sprint
"Tandem Sprint, 2,000 metres, Men",ITA,1,1964,Cycling Track,Men,"Tandem Sprint, 2,000 metres"
"Tandem Sprint, 2,000 metres, Men",URS,2,1964,Cycling Track,Men,"Tandem Sprint, 2,000 metres"
"Tandem Sprint, 2,000 metres, Men",GER,3,1964,Cycling Track,Men,"Tandem Sprint, 2,000 metres"
"Team Pursuit, 4,000 metres, Men",GER,1,1964,Cycling Track,Men,"Team Pursuit, 4,000 metres"
"Team Pursuit, 4,000 metres, Men",ITA,2,1964,Cycling Track,Men,"Team Pursuit, 4,000 metres"
"Team Pursuit, 4,000 metres, Men",NED,3,1964,Cycling Track,Men,"Team Pursuit, 4,000 metres"
"Platform, Men",USA,1,1964,Diving,Men,Platform
"Platform, Men",ITA,2,1964,Diving,Men,Platform
"Platform, Men",USA,3,1964,Diving,Men,Platform
"Platform, Women",USA,1,1964,Diving,Women,Platform
"Platform, Women",GER,2,1964,Diving,Women,Platform
"Platform, Women",URS,3,1964,Diving,Women,Platform
"Springboard, Men",USA,1,1964,Diving,Men,Springboard
"Springboard, Men",USA,2,1964,Diving,Men,Springboard
"Springboard, Men",USA,3,1964,Diving,Men,Springboard
"Springboard, Women",GER,1,1964,Diving,Women,Springboard
"Springboard, Women",USA,2,1964,Diving,Women,Springboard
"Springboard, Women",USA,3,1964,Diving,Women,Springboard
"Individual, Open",SUI,1,1964,Equestrian Dressage,Open,Individual
"Individual, Open",GER,2,1964,Equestrian Dressage,Open,Individual
"Individual, Open",URS,3,1964,Equestrian Dressage,Open,Individual
"Team, Open",GER,1,1964,Equestrian Dressage,Open,Team
"Team, Open",SUI,2,1964,Equestrian Dressage,Open,Team
"Team, Open",URS,3,1964,Equestrian Dressage,Open,Team
"Individual, Open",ITA,1,1964,Equestrian Eventing,Open,Individual
"Individual, Open",ARG,2,1964,Equestrian Eventing,Open,Individual
"Individual, Open",GER,3,1964,Equestrian Eventing,Open,Individual
"Team, Open",ITA,1,1964,Equestrian Eventing,Open,Team
"Team, Open",USA,2,1964,Equestrian Eventing,Open,Team
