Event,NOC,Pos.,Year,Discipline
"Lightweight, Freestyle, Men",BUL,1,1964,Wrestling
"Lightweight, Freestyle, Men",GER,2,1964,Wrestling
"Lightweight, Freestyle, Men",JPN,3,1964,Wrestling
"Lightweight, Greco-Roman, Men",TUR,1,1964,Wrestling
"Lightweight, Greco-Roman, Men",ROU,2,1964,Wrestling
"Lightweight, Greco-Roman, Men",URS,3,1964,Wrestling
"Middleweight, Freestyle, Men",BUL,1,1964,Wrestling
"Middleweight, Freestyle, Men",TUR,2,1964,Wrestling
"Middleweight, Freestyle, Men",USA,3,1964,Wrestling
"Middleweight, Greco-Roman, Men",YUG,1,1964,Wrestling
"Middleweight, Greco-Roman, Men",TCH,2,1964,Wrestling
"Middleweight, Greco-Roman, Men",GER,3,1964,Wrestling
"Welterweight, Freestyle, Men",TUR,1,1964,Wrestling
