Event,Name,NOC,Pos.,Year,Discipline
"Team Pursuit, 4,000 metres, Men",Italy,ITA,2,1964,Cycling Track
"Team Pursuit, 4,000 metres, Men",Netherlands,NED,3,1964,Cycling Track
"Platform, Men",Bob Webster,USA,1,1964,Diving
"Platform, Men",Klaus Dibiasi,ITA,2,1964,Diving
"Platform, Men",Tom Gompf,USA,3,1964,Diving
"Platform, Women",Lesley Bush,USA,1,1964,Diving
"Platform, Women",Ingrid Engel-KrÃ¤mer,GER,2,1964,Diving
"Platform, Women",Galina Alekseyeva,URS,3,1964,Diving
"Springboard, Men",Ken Sitzberger,USA,1,1964,Diving
"Springboard, Men",Frank Gorman,USA,2,1964,Diving
"Springboard, Men",Larry Andreasen,USA,3,1964,Diving
"Springboard, Women",Ingrid Engel-KrÃ¤mer,GER,1,1964,Diving
"Springboard, Women",Jeanne Collier,USA,2,1964,Diving
"Springboard, Women",Patsy Willard,USA,3,1964,Diving
"Individual, Open",Henri Chammartin,SUI,1,1964,Equestrian Dressage
"Individual, Open",Harry Boldt,GER,2,1964,Equestrian Dressage
"Individual, Open",Sergey Filatov,URS,3,1964,Equestrian Dressage
"Team, Open",Unified Team of Germany,GER,1,1964,Equestrian Dressage
"Team, Open",Switzerland,SUI,2,1964,Equestrian Dressage
"Team, Open",Soviet Union,URS,3,1964,Equestrian Dressage
"Individual, Open",Mauro Checcoli,ITA,1,1964,Equestrian Eventing
"Individual, Open",Carlos Moratorio,ARG,2,1964,Equestrian Eventing
"Individual, Open",Fritz Ligges,GER,3,1964,Equestrian Eventing
"Team, Open",Italy,ITA,1,1964,Equestrian Eventing
"Team, Open",United States,USA,2,1964,Equestrian Eventing
"Team, Open",Unified Team of Germany,GER,3,1964,Equestrian Eventing
"Individual, Open",Pierre JonquÃ¨res d'Oriola,FRA,1,1964,Equestrian Jumping
"Individual, Open",Hermann Schridde,GER,2,1964,Equestrian Jumping
"Individual, Open",Peter Robeson,GBR,3,1964,Equestrian Jumping
"Team, Open",Unified Team of Germany,GER,1,1964,Equestrian Jumping
"Team, Open",France,FRA,2,1964,Equestrian Jumping
"Team, Open",Italy,ITA,3,1964,Equestrian Jumping
"ÃpÃ©e, Individual, Men",Grigory Kriss,URS,1,1964,Fencing
"ÃpÃ©e, Individual, Men",Bill Hoskyns,GBR,2,1964,Fencing
"ÃpÃ©e, Individual, Men",Guram Kostava,URS,3,1964,Fencing
"ÃpÃ©e, Team, Men",Hungary,HUN,1,1964,Fencing
"ÃpÃ©e, Team, Men",Italy,ITA,2,1964,Fencing
"ÃpÃ©e, Team, Men",France,FRA,3,1964,Fencing
"Foil, Individual, Men",Egon Franke,POL,1,1964,Fencing
"Foil, Individual, Men",Jean-Claude Magnan,FRA,2,1964,Fencing
"Foil, Individual, Men",Daniel Revenu,FRA,3,1964,Fencing
"Foil, Individual, Women",IldikÃ³ RejtÅ-Ujlaky,HUN,1,1964,Fencing
"Foil, Individual, Women",Helga Mees,GER,2,1964,Fencing
"Foil, Individual, Women",Antonella Ragno,ITA,3,1964,Fencing
"Foil, Team, Men",Soviet Union,URS,1,1964,Fencing
"Foil, Team, Men",Poland,POL,2,1964,Fencing
"Foil, Team, Men",France,FRA,3,1964,Fencing
"Foil, Team, Women",Hungary,HUN,1,1964,Fencing
"Foil, Team, Women",Soviet Union,URS,2,1964,Fencing
"Foil, Team, Women",Unified Team of Germany,GER,3,1964,Fencing
"Sabre, Individual, Men",Tibor PÃ©zsa,HUN,1,1964,Fencing
"Sabre, Individual, Men",Claude Arabo,FRA,2,1964,Fencing
"Sabre, Individual, Men",Umyar Mavlikhanov,URS,3,1964,Fencing
"Sabre, Team, Men",Soviet Union,URS,1,1964,Fencing
