Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Croatia,HRV,0,1,2,3,1992,Barcelona,ESP,,North,East,6808.024556,6519.192357,284.3955443,4976.79,1372.669191,7349.161408,6082.540205,785.1876379,5518.245309,9210.445178,695.52407,5509.170636,944.3405011,5707.083121,6808.024556,4575818.0,71.24146341
Unified Team,EUN,45,38,29,112,1992,Barcelona,ESP,,,,,,,,,,,,,,,,,,,,
Chinese Taipei,TPE,0,1,0,1,1992,Barcelona,ESP,,,,,,,,,,,,,,,,,,,,
Israel,ISR,0,1,1,2,1992,Barcelona,ESP,,North,West,9545.281424,3599.434447,2789.484197,2405.821572,4281.513384,4542.314516,8831.816724,2141.753037,2694.912581,11133.55699,3222.927642,8278.673099,2345.355354,3794.449952,9545.281424,5123000.0,76.50487805
Individual Olympic Athletes,IOA,0,1,2,3,1992,Barcelona,ESP,,,,,,,,,,,,,,,,,,,,
North Korea,PRK,4,0,5,9,1992,Barcelona,ESP,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,20937407.0,69.492
Iran,IRN,0,1,2,3,1992,Barcelona,ESP,,North,East,4823.938424,8287.941294,2339.062511,6961.793767,1576.846874,9257.380845,4107.946907,2713.733005,7409.591644,7254.599739,1527.219054,3554.869761,3011.220363,6543.354447,4823.938424,58780376.0,66.243
Trinidad and Tobago,TTO,0,0,2,2,1996,Atlanta,USA,5759537726.0,,,,,,,,,,,,,,,,,,1257547.0,68.713
Chinese Taipei,TPE,0,1,0,1,1996,Atlanta,USA,,,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,1,0,0,1,1996,Atlanta,USA,159717000000.0,,,,,,,,,,,,,,,,,,6435500.0,79.62682927
Morocco,MAR,0,0,2,2,1996,Atlanta,USA,43161452678.0,,,,,,,,,,,,,,,,,,27383472.0,67.175
Serbia and Montenegro,SCG,1,1,2,4,1996,Atlanta,USA,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,0,0,1,1,1996,Atlanta,USA,1345719472.0,,,,,,,,,,,,,,,,,,2316571.0,61.447
North Korea,PRK,2,1,2,5,1996,Atlanta,USA,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,22113428.0,65.495
Trinidad and Tobago,TTO,0,1,1,2,2000,Sydney,AUS,8154338233.0,,,,,,,,,,,,,,,,,,1267159.0,69.413
Sri Lanka,LKA,0,1,0,1,2000,Sydney,AUS,16330814180.0,,,,,,,,,,,,,,,,,,18777606.0,71.333
North Korea,PRK,0,1,3,4,2000,Sydney,AUS,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,22929078.0,65.268
Chinese Taipei,TPE,0,1,4,5,2000,Sydney,AUS,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,0,1,4,5,2000,Sydney,AUS,38857251336.0,,,,,,,,,,,,,,,,,,28793672.0,68.684
Serbia and Montenegro,SCG,1,1,1,3,2000,Sydney,AUS,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,0,0,1,1,2004,Athens,GRC,13280275123.0,,,,,,,,,,,,,,,,,,1290115.0,70.428
Hong Kong,HKG,0,1,0,1,2004,Athens,GRC,169100000000.0,,,,,,,,,,,,,,,,,,6783500.0,81.82926829
Serbia and Montenegro,SCG,0,2,0,2,2004,Athens,GRC,,,,,,,,,,,,,,,,,,,,
Mongolia,MNG,0,0,1,1,2004,Athens,GRC,1992066808.0,,,,,,,,,,,,,,,,,,2496394.0,64.671
Chinese Taipei,TPE,2,2,1,5,2004,Athens,GRC,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,2,1,0,3,2004,Athens,GRC,59626020162.0,,,,,,,,,,,,,,,,,,30115196.0,71.067
North Korea,PRK,0,4,1,5,2004,Athens,GRC,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,23732740.0,68.102
Morocco,MAR,0,1,1,2,2008,Beijing,CHN,92507257784.0,,,,,,,,,,,,,,,,,,31536807.0,73.546
North Korea,PRK,2,2,2,6,2008,Beijing,CHN,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,24310143.0,68.884
Mongolia,MNG,2,2,0,4,2008,Beijing,CHN,5623216449.0,,,,,,,,,,,,,,,,,,2631899.0,66.447
Singapore,SGP,0,1,0,1,2008,Beijing,CHN,193612000000.0,,,,,,,,,,,,,,,,,,4839396.0,80.7902439
Trinidad and Tobago,TTO,1,1,0,2,2008,Beijing,CHN,27871587350.0,,,,,,,,,,,,,,,,,,1314449.0,71.464
Serbia,SRB,0,1,2,3,2008,Beijing,CHN,52194221469.0,,,,,,,,,,,,,,,,,,7350222.0,73.88536585
Chinese Taipei,TPE,1,1,2,4,2008,Beijing,CHN,,,,,,,,,,,,,,,,,,,,
Mauritius,MUS,0,0,1,1,2008,Beijing,CHN,9990370016.0,,,,,,,,,,,,,,,,,,1244121.0,72.57073171
Serbia,SRB,1,1,2,4,2012,London,GBR,43309252921.0,,,,,,,,,,,,,,,,,,7199077.0,74.83658537
Singapore,SGP,0,0,2,2,2012,London,GBR,295087000000.0,,,,,,,,,,,,,,,,,,5312437.0,81.99512195
Grenada,GRD,1,0,0,1,2012,London,GBR,799882259.3,,,,,,,,,,,,,,,,,,107452.0,72.669
Hong Kong,HKG,0,0,1,1,2012,London,GBR,262629000000.0,,,,,,,,,,,,,,,,,,7150100.0,83.4804878
Mongolia,MNG,0,2,3,5,2012,London,GBR,12292770631.0,,,,,,,,,,,,,,,,,,2824698.0,68.217
North Korea,PRK,4,0,2,6,2012,London,GBR,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,24800638.0,70.454
Montenegro,MNE,0,1,0,1,2012,London,GBR,4087725813.0,,,,,,,,,,,,,,,,,,620601.0,75.823
Morocco,MAR,0,0,1,1,2012,London,GBR,98266306615.0,,,,,,,,,,,,,,,,,,33241898.0,74.97
Trinidad and Tobago,TTO,1,1,2,4,2012,London,GBR,25763220107.0,,,,,,,,,,,,,,,,,,1344814.0,72.382
Chinese Taipei,TPE,1,0,1,2,2012,London,GBR,,,,,,,,,,,,,,,,,,,,
Individual Olympic Athletes,IOA,1,0,1,2,2016,Rio de Janeiro,BRA,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,0,0,1,1,2016,Rio de Janeiro,BRA,22386264807.0,,,,,,,,,,,,,,,,,,1377563.0,73.1
