Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Jamaica,JAM,0,1,0,1,1968,Mexico City,MEX,1083883355.0,North,West,11864.67244,1236.734863,5239.56893,1898.1793,6731.907691,2533.832026,11163.59644,4588.574072,1169.020544,12937.85528,5622.544845,10625.97286,4766.776959,3358.553399,11864.67244,1825873.0,67.349
Italy,ITA,3,4,9,16,1968,Mexico City,MEX,87942231678.0,North,East,6965.601489,6274.19585,457.0470028,4804.931403,1671.339599,7145.651673,6242.692758,552.6489258,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489,53235750.0,70.78
Japan,JPN,11,7,7,25,1968,Mexico City,MEX,146601000000.0,North,East,0.0,13085.252,7045.276098,11770.5309,5749.743872,14081.24317,726.745582,7516.740596,12233.30886,4840.279356,6345.328465,1307.919095,7703.968961,10769.55288,0.0,101011000.0,71.61121951
Iran,IRN,2,1,2,5,1968,Mexico City,MEX,8623172960.0,North,East,4823.938424,8287.941294,2339.062511,6961.793767,1576.846874,9257.380845,4107.946907,2713.733005,7409.591644,7254.599739,1527.219054,3554.869761,3011.220363,6543.354447,4823.938424,27032576.0,49.503
Switzerland,CHE,0,1,4,5,1968,Mexico City,MEX,18942729779.0,North,East,7266.357867,6107.655201,258.5672781,4524.212451,1752.428395,6907.624089,6540.694834,453.4240889,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867,6067714.0,72.5902439
India,IND,0,0,1,1,1968,Mexico City,MEX,53085455871.0,North,East,3450.654954,9642.938962,3830.183598,8420.785316,2865.1176,10674.39927,2765.282337,4190.254101,8826.80147,5899.440123,2998.497325,2268.419035,4502.711561,7460.785766,3450.654954,531513834.0,46.428
Hungary,HUN,10,10,12,32,1968,Mexico City,MEX,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10255815.0,69.2302439
Uganda,UGA,0,1,1,2,1968,Mexico City,MEX,1037815126.0,North,East,6352.026956,7293.2373,3495.969768,6667.727509,3822.208406,8544.891933,5745.464452,3283.89048,6778.799738,6904.98198,2623.993206,5325.133877,3947.281776,4418.435536,6352.026956,8841156.0,48.687
Kenya,KEN,3,4,2,9,1968,Mexico City,MEX,1353295458.0,South,East,6180.346418,7534.91925,3663.960524,6913.67838,3907.068774,8790.313582,5586.393433,3483.27501,7025.59752,6658.214324,2766.641737,5180.772477,4137.111253,4600.32871,6180.346418,10539909.0,51.446
Pakistan,PAK,0,1,0,1,1972,Munich,DEU,9415016360.0,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033,61381982.0,53.699
