,Year,Country Code,Male Wins,Male Medal Ratio,Female Wins,Female Medal Ratio,Total Medal Count,Open Wins,Open Win Ratio
518,2000,TTO,2.0,1.0,,,2,,
519,2000,TUR,4.0,0.8,1.0,0.2,5,0.0,0.0
520,2000,TWN,1.0,0.2,4.0,0.8,5,0.0,0.0
521,2000,UKR,14.0,0.6086956521739131,9.0,0.391304347826087,23,0.0,0.0
522,2000,URY,1.0,1.0,,,1,,
523,2000,USA,49.0,0.5268817204301075,39.0,0.41935483870967744,93,5.0,0.053763440860215055
524,2000,UZB,4.0,1.0,,,4,,
525,2000,VNM,,,1.0,1.0,1,,
526,2000,ZAF,3.0,0.6,2.0,0.4,5,0.0,0.0
527,2004,ARE,1.0,1.0,,,1,,
528,2004,ARG,2.0,0.3333333333333333,3.0,0.5,6,1.0,0.16666666666666666
529,2004,AUS,27.0,0.54,23.0,0.46,50,0.0,0.0
530,2004,AUT,3.0,0.42857142857142855,2.0,0.2857142857142857,7,2.0,0.2857142857142857
531,2004,AZE,3.0,0.6,2.0,0.4,5,0.0,0.0
532,2004,BEL,1.0,0.3333333333333333,2.0,0.6666666666666666,3,0.0,0.0
533,2004,BGR,8.0,0.6666666666666666,4.0,0.3333333333333333,12,0.0,0.0
534,2004,BHS,,,2.0,1.0,2,,
535,2004,BLR,7.0,0.5384615384615384,6.0,0.46153846153846156,13,0.0,0.0
536,2004,BRA,6.0,0.6,2.0,0.2,10,2.0,0.2
537,2004,CAN,6.0,0.5,6.0,0.5,12,0.0,0.0
538,2004,CHE,4.0,0.8,1.0,0.2,5,0.0,0.0
539,2004,CHL,3.0,1.0,,,3,,
540,2004,CHN,23.0,0.36507936507936506,39.0,0.6190476190476191,63,1.0,0.015873015873015872
541,2004,CMR,,,1.0,1.0,1,,
542,2004,COL,,,2.0,1.0,2,,
543,2004,CUB,16.0,0.5925925925925926,11.0,0.4074074074074074,27,0.0,0.0
544,2004,CZE,5.0,0.5555555555555556,4.0,0.4444444444444444,9,0.0,0.0
545,2004,DEU,24.0,0.4897959183673469,21.0,0.42857142857142855,49,4.0,0.08163265306122448
546,2004,DNK,4.0,0.5,3.0,0.375,8,1.0,0.125
547,2004,DOM,1.0,1.0,,,1,,
548,2004,DQ,2.0,0.6666666666666666,1.0,0.3333333333333333,3,0.0,0.0
549,2004,EGY,5.0,1.0,,,5,,
550,2004,ERI,1.0,1.0,,,1,,
551,2004,ESP,13.0,0.65,4.0,0.2,20,3.0,0.15
552,2004,EST,3.0,1.0,,,3,,
553,2004,ETH,3.0,0.42857142857142855,4.0,0.5714285714285714,7,0.0,0.0
554,2004,FIN,2.0,1.0,,,2,,
555,2004,FRA,16.0,0.48484848484848486,16.0,0.48484848484848486,33,1.0,0.030303030303030304
556,2004,GBR,15.0,0.5,10.0,0.3333333333333333,30,5.0,0.16666666666666666
557,2004,GEO,4.0,1.0,,,4,,
