Country Code,Male,Female,Total,Year
CYP,13,4,17,1992
CZE,146,62,208,1992
DEU,300,163,463,1992
DJI,8,0,8,1992
DNK,86,33,119,1992
DOM,30,2,32,1992
DZA,33,2,35,1992
ECU,6,7,13,1992
EGY,72,3,75,1992
ESP,297,125,422,1992
EST,33,4,37,1992
ETH,28,12,40,1992
FIN,60,28,88,1992
FRA,241,98,339,1992
GAB,4,1,5,1992
GBR,229,142,371,1992
GHA,32,2,34,1992
GIN,6,2,8,1992
GMB,5,0,5,1992
GNQ,5,2,7,1992
GRC,56,14,70,1992
GRD,3,1,4,1992
GTM,12,2,14,1992
GUY,5,1,6,1992
HKG,28,10,38,1992
HND,7,3,10,1992
HRV,36,3,39,1992
HTI,7,0,7,1992
HUN,159,58,217,1992
IDN,27,15,42,1992
IND,46,6,52,1992
IRL,49,9,58,1992
IRN,36,0,36,1992
IRQ,8,0,8,1992
ISL,24,3,27,1992
ISR,25,5,30,1992
ITA,228,76,304,1992
JAM,22,14,36,1992
JOR,3,1,4,1992
JPN,175,81,256,1992
KEN,40,9,49,1992
KOR,154,72,226,1992
KWT,32,0,32,1992
LAO,6,0,6,1992
LBN,12,0,12,1992
LBY,5,0,5,1992
LIE,4,3,7,1992
LKA,5,6,11,1992
LSO,5,1,6,1992
LTU,36,11,47,1992
LUX,5,1,6,1992
LVA,25,9,34,1992
MAR,43,1,44,1992
MDG,8,5,13,1992
MDV,6,1,7,1992
MEX,76,26,102,1992
MLI,3,2,5,1992
MLT,3,3,6,1992
MMR,5,3,8,1992
MNG,28,7,35,1992
MOZ,3,3,6,1992
MRT,6,0,6,1992
MUS,6,7,13,1992
MWI,3,1,4,1992
MYS,26,0,26,1992
NAM,5,1,6,1992
NER,3,0,3,1992
NGA,32,23,55,1992
NIC,7,1,8,1992
NLD,117,84,201,1992
NOR,51,32,83,1992
NPL,1,1,2,1992
NZL,92,42,134,1992
OMN,5,0,5,1992
PAK,27,0,27,1992
PAN,5,0,5,1992
PER,12,4,16,1992
PHL,24,2,26,1992
PNG,12,1,13,1992
POL,149,52,201,1992
PRI,65,6,71,1992
PRK,36,28,64,1992
PRT,68,22,90,1992
PRY,24,3,27,1992
QAT,28,0,28,1992
ROU,105,68,173,1992
RWA,7,3,10,1992
SAU,9,0,9,1992
SDN,74,25,99,1992
SEN,18,2,20,1992
SGP,11,3,14,1992
SLB,1,0,1,1992
SLE,9,2,11,1992
SLV,3,1,4,1992
SMR,16,1,17,1992
SUR,5,1,6,1992
SVN,29,6,35,1992
SWE,143,44,187,1992
SWZ,6,0,6,1992
SYC,10,1,11,1992
SYR,7,1,8,1992
TCD,21,7,28,1992
TGO,6,0,6,1992
THA,23,23,46,1992
TON,5,0,5,1992
TTO,7,0,7,1992
TUN,11,2,13,1992
TUR,36,5,41,1992
TWN,23,8,31,1992
UGA,6,2,8,1992
URY,16,0,16,1992
USA,355,190,545,1992
VCT,4,2,6,1992
VEN,22,4,26,1992
VGB,4,0,4,1992
VIR,20,5,25,1992
VNM,2,5,7,1992
VUT,4,2,6,1992
WSM,5,0,5,1992
YEM,8,0,8,1992
ZMB,8,1,9,1992
ZWE,10,9,19,1992
ABW,3,0,3,1996
AFG,2,0,2,1996
AGO,13,15,28,1996
ALB,3,4,7,1996
AND,6,2,8,1996
ARE,4,0,4,1996
ARG,132,47,179,1996
ARM,30,2,32,1996
ASM,6,1,7,1996
ATG,14,5,19,1996
AUS,250,167,417,1996
AUT,56,16,72,1996
AZE,20,3,23,1996
BDI,6,1,7,1996
BEL,42,20,62,1996
BEN,4,1,5,1996
BGD,3,1,4,1996
BGR,75,36,111,1996
BHR,19,7,26,1996
BIH,7,2,9,1996
BLR,91,66,157,1996
BLZ,2,3,5,1996
BMU,7,2,9,1996
BOL,6,2,8,1996
BRA,156,65,221,1996
BRB,11,2,13,1996
BRN,5,0,5,1996
BTN,1,1,2,1996
BWA,7,0,7,1996
CAF,3,2,5,1996
CAN,152,151,303,1996
CHE,72,43,115,1996
CHN,127,188,315,1996
CIV,10,1,11,1996
CMR,14,6,20,1996
COD,2,12,14,1996
COG,3,2,5,1996
COK,2,1,3,1996
COL,39,9,48,1996
COM,3,1,4,1996
CPV,2,1,3,1996
CRI,6,5,11,1996
CUB,111,53,164,1996
CYM,8,1,9,1996
CYP,15,2,17,1996
CZE,76,39,115,1996
DEU,279,187,466,1996
DJI,5,0,5,1996
DMA,4,2,6,1996
DNK,54,65,119,1996
DOM,12,4,16,1996
DZA,39,6,45,1996
ECU,17,2,19,1996
EGY,27,2,29,1996
ESP,194,95,289,1996
EST,35,8,43,1996
ETH,10,8,18,1996
FIN,47,29,76,1996
FJI,14,3,17,1996
FRA,197,102,299,1996
GAB,6,1,7,1996
GBR,184,116,300,1996
GEO,27,7,34,1996
GHA,33,2,35,1996
GIN,4,1,5,1996
GMB,8,1,9,1996
GNB,3,0,3,1996
GNQ,4,1,5,1996
GRC,87,34,121,1996
GRD,5,0,5,1996
GTM,25,1,26,1996
GUY,6,1,7,1996
HKG,14,9,23,1996
HND,4,3,7,1996
HRV,75,9,84,1996
HTI,7,0,7,1996
HUN,147,66,213,1996
IDN,23,17,40,1996
IND,40,9,49,1996
IRL,62,16,78,1996
IRN,17,1,18,1996
IRQ,3,0,3,1996
ISL,5,4,9,1996
ISR,18,7,25,1996
ITA,236,104,340,1996
JAM,27,19,46,1996
JOR,3,2,5,1996
JPN,157,149,306,1996
KAZ,72,24,96,1996
KEN,42,10,52,1996
KGZ,26,7,33,1996
KNA,4,6,10,1996
KOR,190,113,303,1996
KWT,25,0,25,1996
LAO,4,1,5,1996
LBN,0,1,1,1996
LBR,4,1,5,1996
LBY,5,0,5,1996
LCA,5,1,6,1996
LIE,0,2,2,1996
LKA,5,4,9,1996
LSO,5,4,9,1996
LTU,45,16,61,1996
LUX,2,4,6,1996
LVA,34,13,47,1996
MAR,32,2,34,1996
MDA,35,5,40,1996
MDG,4,7,11,1996
MDV,5,1,6,1996
MEX,71,27,98,1996
MKD,8,3,11,1996
MLI,1,2,3,1996
MLT,4,3,7,1996
MMR,5,3,8,1996
MNG,14,5,19,1996
MOZ,2,1,3,1996
MRT,4,0,4,1996
MUS,21,5,26,1996
MWI,2,0,2,1996
MYS,32,3,35,1996
NAM,6,2,8,1996
NER,2,1,3,1996
NGA,49,16,65,1996
NIC,25,1,26,1996
NLD,137,102,239,1996
NOR,42,55,97,1996
NPL,3,3,6,1996
NRU,3,0,3,1996
NZL,66,29,95,1996
OMN,4,0,4,1996
PAK,23,1,24,1996
PAN,5,2,7,1996
PER,15,14,29,1996
PHL,8,4,12,1996
PNG,11,0,11,1996
POL,126,39,165,1996
PRI,47,22,69,1996
