,Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games
185,Cuba,CUB,8,7,5,20,1980,Moscow,RUS,19.912889861,North,West,9849457.0,73.794,6467.743547433332
186,Switzerland,CHE,2,0,0,2,1980,Moscow,RUS,122.661,North,East,6319408.0,75.45926829,4591.695619313333
188,Sweden,SWE,3,3,6,12,1980,Moscow,RUS,142.092,North,East,8310531.0,75.74097561,4888.82392808
190,Ireland,IRL,0,1,1,2,1980,Moscow,RUS,21.751265577,North,West,3412800.0,72.6232439,4872.6161907666665
191,Zimbabwe,ZWE,1,0,0,1,1980,Moscow,RUS,6.6788682,South,East,7408630.0,59.731,6067.669821066667
192,United Kingdom,GBR,5,7,9,21,1980,Moscow,RUS,564.948,North,West,56314216.0,73.67560976,4727.1456612
194,France,FRA,6,5,3,14,1980,Moscow,RUS,701.288,North,East,55161510.0,74.05121951,4657.586983086667
195,Mexico,MEX,0,1,3,4,1980,Moscow,RUS,205.139,North,West,67761367.0,66.553,7089.6430021333335
197,Germany,DEU,47,37,42,126,1980,Moscow,RUS,950.291,North,East,78288576.0,72.67790244,4684.012143373334
200,Finland,FIN,3,1,4,8,1980,Moscow,RUS,53.645202423,North,East,4779535.0,73.44,4940.61010778
202,Greece,GRC,1,0,2,3,1980,Moscow,RUS,56.829664269,North,East,9642505.0,73.64714634,4570.22862004
204,Denmark,DNK,2,1,2,5,1980,Moscow,RUS,71.1275287,North,East,5123027.0,74.10170732,4769.836091046666
206,Guyana,GUY,0,0,1,1,1980,Moscow,RUS,0.6032,North,West,780153.0,62.498,6123.836514333333
207,Austria,AUT,1,2,1,4,1980,Moscow,RUS,82.058912997,North,East,7549433.0,72.46341463,4604.9858421
208,Australia,AUS,2,2,5,9,1980,Moscow,RUS,149.776,South,East,14692000.0,74.33365854,8930.279554713334
210,Kenya,KEN,1,0,2,3,1984,Los Angeles,USA,6.19143707,South,East,19146403.0,59.093,5507.264520666667
212,Dominican Republic,DOM,0,0,1,1,1984,Los Angeles,USA,11.594,North,West,6331760.0,64.326,6178.694056066667
213,Turkey,TUR,0,0,3,3,1984,Los Angeles,USA,59.989909458,North,East,48114158.0,61.111,4669.0263621799995
214,Syria,SYR,0,1,0,1,1984,Los Angeles,USA,17.503082982,North,East,10293048.0,68.005,4741.878703053333
215,Colombia,COL,0,1,0,1,1984,Los Angeles,USA,38.253120738,North,West,29331230.0,68.529,6596.774323
216,China,CHN,15,8,9,32,1984,Los Angeles,USA,259.947,North,East,1036825000.0,68.231,6152.341139926667
218,Puerto Rico,PRI,0,1,1,2,1984,Los Angeles,USA,19.1626,North,West,3344190.0,74.17763415,6087.802239133333
220,Netherlands,NLD,5,2,6,13,1984,Los Angeles,USA,143.913,North,East,14424211.0,76.23317073,4712.265299573333
222,Japan,JPN,10,8,14,32,1984,Los Angeles,USA,1318.38,North,East,120083000.0,77.36536585,6878.392655666668
