,Country,Gold,Silver,Bronze,Total,Year,Life Expectancy at Birth,Population,GDP (Billions),Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
269,Norway,2,3,0,5,1988,76.4,4209489.0,406.0,North,East,7244.041584999999,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.1008980000001,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041584999999
270,Finland,1,1,2,4,1988,74.8,4946487.0,269.0,North,East,6482.014653,7342.902147,1107.2607699999999,5585.00046,746.7650967000001,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.6725609999999,6834.621887,6482.014653
273,Belgium,0,0,2,2,1988,75.7,9901665.0,533.0,North,East,7465.484676000001,6040.287639,434.360945,4369.683402000001,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.87647180000005,5688.273316,7465.484676000001
274,Mexico,0,0,2,2,1988,70.6,80970606.0,1269.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.988130000002,6810.8918650000005,11838.94405,5845.682904,4215.212132,13085.252
276,Australia,3,6,5,14,1988,76.3,16532164.0,1397.0,South,East,4913.860856,14055.774080000001,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.026119999999,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
279,Austria,1,0,0,1,1988,75.3,7585317.0,445.0,North,East,6793.721355,6605.111663000001,253.3477585,5014.993429,1259.691378,7405.4282840000005,6067.3108600000005,896.7318071000001,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.695629999999,6793.721355
281,Denmark,2,1,1,4,1988,75.0,5129517.0,350.0,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.5487890000002,7280.410025,6357.022542000001,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
283,Chile,0,1,0,1,1988,72.5,12748135.0,279.0,South,West,12415.56917,3943.1054729999996,7180.963618000001,5440.38823,8488.879813,5327.327679,11801.49769,6497.463882999999,4684.999750999999,12099.98408,7081.0866510000005,11359.06185,6987.801141,1648.784529,12415.56917
286,Switzerland,0,2,2,4,1988,77.5,6593387.0,731.0,North,East,7266.357867000001,6107.655201,258.5672781,4524.212450999999,1752.428395,6907.624089,6540.694834000001,453.42408889999996,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867000001
287,Italy,6,4,4,14,1988,76.5,56629290.0,2005.0,North,East,6965.601489,6274.19585,457.0470028,4804.9314030000005,1671.3395990000001,7145.651673,6242.692758,552.6489257999999,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489
